"id","name","code"
"mtlcs_all.pcb_misc_parts_001","COC报告","1",
"mtlcs_all.pcb_misc_parts_002","ROHS证明","2",
"mtlcs_all.pcb_misc_parts_003","SGS报告","3",
"mtlcs_all.pcb_misc_parts_004","材料证明书","4",
"mtlcs_all.pcb_misc_parts_005","测试报告","5",
"mtlcs_all.pcb_misc_parts_006","成品检验报告","6",
"mtlcs_all.pcb_misc_parts_007","叠层报告","7",
"mtlcs_all.pcb_misc_parts_008","焊锡报告","8",
"mtlcs_all.pcb_misc_parts_009","金镍厚报告","9",
"mtlcs_all.pcb_misc_parts_010","离子污染报告","10",
"mtlcs_all.pcb_misc_parts_011","品质保证书","11",
"mtlcs_all.pcb_misc_parts_012","切片报告/切片","12",
"mtlcs_all.pcb_misc_parts_013","热冲击试验报告","13",
"mtlcs_all.pcb_misc_parts_014","湿度卡","14",
"mtlcs_all.pcb_misc_parts_015","首件检验报告","15",
"mtlcs_all.pcb_misc_parts_016","首交单只菲林一套","16",
"mtlcs_all.pcb_misc_parts_017","无铅报告","17",
"mtlcs_all.pcb_misc_parts_018","样品承认书","18",
"mtlcs_all.pcb_misc_parts_019","英文版","19",
"mtlcs_all.pcb_misc_parts_020","阻抗测试条","20",
"mtlcs_all.pcb_misc_parts_021","阻抗测试报告","21",
