"id","name"
"mtlcs_all.soft_version_001","AD09"
"mtlcs_all.soft_version_002","AD2013"
"mtlcs_all.soft_version_003","Altium Designer 10"
"mtlcs_all.soft_version_004","Altium Designer 6.9"
"mtlcs_all.soft_version_005","AutoCAD"
"mtlcs_all.soft_version_006","CAM350"
"mtlcs_all.soft_version_007","Genesis"
"mtlcs_all.soft_version_008","Gerber"
"mtlcs_all.soft_version_009","OrCAD 16.3"
"mtlcs_all.soft_version_0010","PADS 2005"
"mtlcs_all.soft_version_0010","PADS 2007"
"mtlcs_all.soft_version_0010","PADS 9.3"
"mtlcs_all.soft_version_0010","PADS 9.5"
"mtlcs_all.soft_version_0010","Protel 98"
"mtlcs_all.soft_version_0010","Protel 99SE"
"mtlcs_all.soft_version_0010","Protel DXP 2004"
