id,code,name,resource_type
mtlcs_mrp.workcenter_01,WK01,下料磨边,material
mtlcs_mrp.workcenter_02,WK02,化学清洗,material
mtlcs_mrp.workcenter_03,WK03,钻定位孔,material
mtlcs_mrp.workcenter_04,WK04,内层涂覆,material
mtlcs_mrp.workcenter_05,WK05,内层曝光,material
mtlcs_mrp.workcenter_06,WK06,内层检验,material
mtlcs_mrp.workcenter_07,WK07,内层蚀刻,material
mtlcs_mrp.workcenter_08,WK08,钻靶孔,material
mtlcs_mrp.workcenter_09,WK09,蚀刻检验,material
mtlcs_mrp.workcenter_10,WK10,黑化,material
mtlcs_mrp.workcenter_11,WK11,黑化检验,material
mtlcs_mrp.workcenter_12,WK12,层压,material
mtlcs_mrp.workcenter_13,WK13,去黑化,material
mtlcs_mrp.workcenter_14,WK14,层压后表面处理,material
mtlcs_mrp.workcenter_15,WK15,钻孔(盘中孔),material
mtlcs_mrp.workcenter_16,WK16,多层沉铜(盘中孔),material
mtlcs_mrp.workcenter_17,WK17,堵孔(盘中孔),material
mtlcs_mrp.workcenter_18,WK18,固化(盘中孔),material
mtlcs_mrp.workcenter_19,WK19,打磨(盘中孔),material
mtlcs_mrp.workcenter_20,WK20,堵孔检验(盘中孔),material
mtlcs_mrp.workcenter_21,WK21,双面沉铜(盘中孔),material
mtlcs_mrp.workcenter_22,WK22,钻孔,material
mtlcs_mrp.workcenter_23,WK23,铣槽/孔,material
mtlcs_mrp.workcenter_24,WK24,沉铜加厚,material
mtlcs_mrp.workcenter_25,WK25,外层涂覆,material
mtlcs_mrp.workcenter_26,WK26,外层曝光,material
mtlcs_mrp.workcenter_27,WK27,外层检验,material
mtlcs_mrp.workcenter_28,WK28,镀金,material
mtlcs_mrp.workcenter_29,WK29,镀铜锡,material
mtlcs_mrp.workcenter_30,WK30,铣槽/半孔,material
mtlcs_mrp.workcenter_31,WK31,去膜蚀刻,material
mtlcs_mrp.workcenter_32,WK32,外蚀检验,material
mtlcs_mrp.workcenter_33,WK33,丝印阻焊,material
mtlcs_mrp.workcenter_34,WK34,曝光阻焊,material
mtlcs_mrp.workcenter_35,WK35,阻焊检验,material
mtlcs_mrp.workcenter_36,WK36,二次钻孔,material
mtlcs_mrp.workcenter_37,WK37,镀金手指,material
mtlcs_mrp.workcenter_38,WK38,热风整平,material
mtlcs_mrp.workcenter_39,WK39,化学镍金,material
mtlcs_mrp.workcenter_40,WK40,涂层检验,material
mtlcs_mrp.workcenter_41,WK41,丝印字符,material
mtlcs_mrp.workcenter_42,WK42,铣边框,material
mtlcs_mrp.workcenter_43,WK43,外形加工,material
mtlcs_mrp.workcenter_44,WK44,测试,material
mtlcs_mrp.workcenter_45,WK45,表面涂层,material
mtlcs_mrp.workcenter_46,WK46,成品检验,material
mtlcs_mrp.workcenter_47,WK47,包装入库,material
mtlcs_mrp.workcenter_48,WK48,丝印兰胶,material
mtlcs_mrp.workcenter_49,WK49,镀金去膜,material
mtlcs_mrp.workcenter_50,WK50,蚀刻光板,material
mtlcs_mrp.workcenter_51,WK51,酸洗,material
mtlcs_mrp.workcenter_52,WK52,铜皮做图形,material
mtlcs_mrp.workcenter_53,WK53,外层图形,material
mtlcs_mrp.workcenter_54,WK54,堵孔,material
mtlcs_mrp.workcenter_55,WK55,压合,material
mtlcs_mrp.workcenter_56,WK56,第一次印湿膜,material
mtlcs_mrp.workcenter_57,WK57,曝光显影,material
mtlcs_mrp.workcenter_58,WK58,第二次印湿膜,material
mtlcs_mrp.workcenter_59,WK59,贴干膜,material
mtlcs_mrp.workcenter_60,WK60,撕蓝胶,material
mtlcs_mrp.workcenter_61,WK61,表面微蚀,material
mtlcs_mrp.workcenter_62,WK62,微蚀减薄,material
mtlcs_mrp.workcenter_63,WK63,铜皮蚀刻,material
mtlcs_mrp.workcenter_64,WK64,表面电镀,material
mtlcs_mrp.workcenter_65,WK65,控深钻孔,material
mtlcs_mrp.workcenter_66,WK66,检验,material
mtlcs_mrp.workcenter_67,WK67,蚀刻去膜,material
mtlcs_mrp.workcenter_68,WK68,AOI,material
mtlcs_mrp.workcenter_69,WK69,去膜(删除),material
mtlcs_mrp.workcenter_70,WK70,第二次测试,material
mtlcs_mrp.workcenter_71,WK71,丝印白油,material
mtlcs_mrp.workcenter_72,WK72,字符曝光,material
mtlcs_mrp.workcenter_73,WK73,镀锡,material
mtlcs_mrp.workcenter_74,WK74,V-CUT,material
mtlcs_mrp.workcenter_75,WK75,后固化,material
mtlcs_mrp.workcenter_76,WK76,斜边,material
mtlcs_mrp.workcenter_77,WK77,字符检验,material
mtlcs_mrp.workcenter_78,WK78,丝印碳油,material
mtlcs_mrp.workcenter_79,WK79,激光钻孔,material
mtlcs_mrp.workcenter_80,WK80,恒流源测试,material
