"id","btype","type","value","layer_count"
"__export__.pcb_fee_base_hid_001","HDI","基板费",0.67,1
"__export__.pcb_fee_base_hid_002","HDI","基板费",0.67,2
"__export__.pcb_fee_base_hid_003","HDI","基板费",0.67,3
"__export__.pcb_fee_base_hid_004","HDI","基板费",0.67,4
"__export__.pcb_fee_base_hid_005","HDI","基板费",0.93,5
"__export__.pcb_fee_base_hid_006","HDI","基板费",0.93,6
"__export__.pcb_fee_base_hid_007","HDI","基板费",1.5,7
"__export__.pcb_fee_base_hid_008","HDI","基板费",1.5,8
"__export__.pcb_fee_base_hid_009","HDI","基板费",1.75,9
"__export__.pcb_fee_base_hid_010","HDI","基板费",1.75,10
"__export__.pcb_fee_base_hid_011","HDI","基板费",2.05,11
"__export__.pcb_fee_base_hid_012","HDI","基板费",2.05,12
"__export__.pcb_fee_base_hid_013","HDI","基板费",2.5,13
"__export__.pcb_fee_base_hid_014","HDI","基板费",2.5,14
